"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
"373",0,0.228277295156784,0.189,0.099,0,Health,STOM
"374",0,0.228220761435078,0.181,0.091,0,Health,KLF9
"375",0,0.227970863511191,0.107,0.04,0,Health,PLEKHA5
"376",0,0.227390802798493,0.1,0.033,0,Health,PDK2
"377",0,0.227293538528653,0.123,0.05,0,Health,CTNND1
"378",0,0.226721716117883,0.465,0.328,0,Health,SLC25A3
"379",0,0.225667159573222,0.213,0.113,0,Health,KDELR1
"380",0,0.224353273881273,0.266,0.151,0,Health,ATP6V1E1
"381",0,0.223290549783812,0.214,0.102,0,Health,DHRS4L2
"382",0,0.222937318638954,0.194,0.108,0,Health,CBR1
"383",0,0.221819473755806,0.37,0.228,0,Health,NDUFS6
"384",0,0.221744264365713,0.216,0.121,0,Health,PTTG1IP
"385",0,0.22165747351164,0.217,0.118,0,Health,STAU1
"386",0,0.220570333413914,0.535,0.372,0,Health,UQCRQ
"387",0,0.219744996981986,0.107,0.033,0,Health,HGD
"388",0,0.218888079871408,0.147,0.061,0,Health,PINK1
"389",0,0.218289023371256,0.513,0.37,0,Health,USMG5
"390",0,0.21823149675693,0.18,0.091,0,Health,SCOC
"391",0,0.218198945008601,0.345,0.193,0,Health,MT1E
"392",0,0.217148721705796,0.154,0.072,0,Health,PGRMC2
"393",0,0.216284285823559,0.143,0.059,0,Health,MPST
"394",0,0.215188556726617,0.214,0.108,0,Health,AKR7A2
"395",0,0.214641784038324,0.166,0.078,0,Health,ARL3
"396",0,0.214306802189475,0.114,0.044,0,Health,MYL6B
"397",0,0.213379524206715,0.136,0.062,0,Health,GNS
"398",0,0.211633099661525,0.264,0.157,0,Health,DYNC1I2
"399",0,0.211571201096976,0.363,0.252,0,Health,CTSD
"400",0,0.210185382423589,0.143,0.065,0,Health,HIBADH
"401",0,0.209925148576702,0.121,0.05,0,Health,AP1S1
"402",0,0.20879834403951,0.12,0.05,0,Health,HSDL2
"403",0,0.207861807547306,0.346,0.218,0,Health,NDUFA5
"404",0,0.206273838454901,0.206,0.112,0,Health,ATP6V1D
"405",0,0.205130886601768,0.184,0.094,0,Health,GINM1
"406",0,0.204755743021371,0.276,0.158,0,Health,PHB
"407",0,0.204318424344189,0.197,0.105,0,Health,AK2
"408",0,0.203846922035759,0.49,0.343,0,Health,RPS27L
"409",0,0.20254501153909,0.119,0.046,0,Health,MSRB1
"410",0,0.201942312674689,0.233,0.128,0,Health,NDUFV1
"411",0,0.201893653936227,0.428,0.286,0,Health,ATP5A1
"412",0,0.201512301401864,0.133,0.054,0,Health,MORN2
"413",0,0.20028505554552,0.419,0.291,0,Health,NDUFA3
"414",0,-0.200637791483499,0.644,0.581,0,Health,PPIA
"415",0,-0.202360987635502,0.375,0.325,0,Health,CNBP
"416",0,-0.202658169531209,0.758,0.7,0,Health,RPL23
"417",0,-0.202693598517201,0.718,0.663,0,Health,COX4I1
"418",0,-0.203382545269569,0.477,0.415,0,Health,PSMA7
"419",0,-0.204610133424963,0.325,0.274,0,Health,ERH
"420",0,-0.207099393414533,0.667,0.604,0,Health,ATP5L
"421",0,-0.210932194063085,0.402,0.347,0,Health,SEC61B
"422",0,-0.214355459217377,0.797,0.744,0,Health,UBB
"423",0,-0.217442915180641,0.471,0.389,0,Health,PSAP
"424",0,-0.217557051679732,0.786,0.745,0,Health,NACA
"425",0,-0.22150114187644,0.601,0.538,0,Health,ATP5G2
"426",0,-0.225152845642546,0.52,0.454,0,Health,EIF4A2
"427",0,-0.227943128163459,0.794,0.746,0,Health,RPL5
"428",0,-0.233102376130281,0.437,0.403,0,Health,RBM39
"429",0,-0.233967849897117,0.574,0.431,0,Health,HSPA1A
"430",0,-0.234167469476237,0.731,0.639,0,Health,HSP90AB1
"431",0,-0.239414653259669,0.396,0.355,0,Health,HNRNPC
"432",0,-0.239672717834484,0.572,0.514,0,Health,SLC25A6
"433",0,-0.241221081696152,0.424,0.383,0,Health,RHOA
"434",0,-0.245818352786072,0.485,0.435,0,Health,SUMO2
"435",0,-0.246724988789011,0.425,0.384,0,Health,GLTSCR2
"436",0,-0.247095273170167,0.606,0.563,0,Health,HNRNPA1
"437",0,-0.251033465666549,0.336,0.288,0,Health,RBX1
"438",0,-0.251923633355263,0.882,0.865,0,Health,RPS24
"439",0,-0.252997438258858,0.43,0.403,0,Health,TMEM66
"440",0,-0.254199862679365,0.326,0.289,0,Health,COPE
"441",0,-0.257956040966429,0.608,0.551,0,Health,MYL12B
"442",0,-0.25870619230271,0.924,0.899,0,Health,RPS28
"443",0,-0.262755928808501,0.26,0.213,0,Health,LGALS3
"444",0,-0.263066776253774,0.892,0.891,0,Health,RPS8
"445",0,-0.264479507424239,0.669,0.581,0,Health,HSPA8
"446",0,-0.265622647757258,0.5,0.457,0,Health,EIF3K
"447",0,-0.265650199103922,0.601,0.551,0,Health,YBX1
"448",0,-0.266197713046233,0.479,0.45,0,Health,EIF4A1
"449",0,-0.275882708657991,0.827,0.803,0,Health,RPL24
