"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Tmem256",4204,2.61576135666828e-251,-0.753500973084416,0.269,0.394,6.08635352469575e-247,"Recovery","TMEM256-PLSCR3"
"Tmem256",5846,0,-1.00503348819899,0.21,0.4,0,"CKD","TMEM256-PLSCR3"
"Tmem256",3372,0,-0.972685198471987,0.349,0.395,0,"AKI","TMEM256-PLSCR3"
"Slc7a13",3425,0,-1.16901567634031,0.005,0.12,0,"AKI","SLC7A13"
"Slc7a13",70,0,1.52504516794671,0.187,0.016,0,"Health","SLC7A13"
"Oxct1",3442,0,-1.36626136449745,0.285,0.462,0,"AKI","OXCT1"
"Oxct1",71,0,1.52181235536118,0.562,0.305,0,"Health","OXCT1"
"Oxct1",5896,0,-1.2855186751991,0.193,0.419,0,"CKD","OXCT1"
"Slc6a19",72,0,1.51500691673114,0.225,0.022,0,"Health","SLC6A19"
"Slc6a19",3397,0,-1.04783351209542,0.021,0.136,0,"AKI","SLC6A19"
"Slc6a19",6070,1.47240744915068e-274,-0.824155644685183,0.011,0.101,3.42599765268379e-270,"CKD","SLC6A19"
"Fbp1",5871,0,-1.12832426137676,0.042,0.193,0,"CKD","FBP1"
"Fbp1",3434,0,-1.31499821108373,0.051,0.257,0,"AKI","FBP1"
"Fbp1",73,0,1.51003065760433,0.377,0.072,0,"Health","FBP1"
"Cndp2",4845,4.96745040332673e-19,-0.358502392214932,0.221,0.252,1.15582635984606e-14,"Recovery","CNDP2"
"Cndp2",6995,1.87750019992688e-88,-0.882546456838451,0.193,0.256,4.36856746518987e-84,"CKD","CNDP2"
"Cndp2",74,0,1.50483248670504,0.319,0.212,0,"Health","CNDP2"
"Cndp2",3573,8.64998273992329e-235,-1.17437354320244,0.216,0.27,2.01267798392535e-230,"AKI","CNDP2"
"Cat",5841,0,-0.985529918290091,0.111,0.265,0,"CKD","CAT"
"Cat",4493,7.85736575293002e-77,-0.566595997921909,0.196,0.254,1.82825186339176e-72,"Recovery","CAT"
"Cat",3385,0,-1.01540903821363,0.182,0.289,0,"AKI","CAT"
"Cat",77,0,1.49130941583033,0.395,0.171,0,"Health","CAT"
"Cisd1",78,0,1.48969230074507,0.611,0.332,0,"Health","CISD1"
"Cisd1",3429,0,-1.22876675564734,0.34,0.483,0,"AKI","CISD1"
"Cisd1",5910,0,-1.36146606918282,0.163,0.463,0,"CKD","CISD1"
"Tcn2",4880,4.68504713438808e-07,-0.290824230987239,0.38,0.39,0.0109011676722942,"Recovery","TCN2"
"Tcn2",79,0,1.47974702346271,0.534,0.316,0,"Health","TCN2"
"Tcn2",3424,0,-1.16871391257187,0.305,0.446,0,"AKI","TCN2"
"Tcn2",6152,7.1278732424233e-254,-0.906935717591168,0.285,0.404,1.65851354604705e-249,"CKD","TCN2"
"Hint2",5869,0,-1.10747792777117,0.14,0.353,0,"CKD","HINT2"
"Hint2",3413,0,-1.12357550000223,0.252,0.377,0,"AKI","HINT2"
"Hint2",80,0,1.47808961873113,0.487,0.246,0,"Health","HINT2"
"Dnajc19",6006,2.13981917309958e-293,-0.904451940106134,0.178,0.31,4.97893125196811e-289,"CKD","DNAJC19"
"Dnajc19",4349,7.88305858358365e-123,-0.623559800945538,0.225,0.304,1.83423007122824e-118,"Recovery","DNAJC19"
"Dnajc19",81,0,1.47623887375131,0.432,0.224,0,"Health","DNAJC19"
"Dnajc19",3381,0,-0.998028694257845,0.238,0.331,0,"AKI","DNAJC19"
"Acox1",3373,0,-0.972852799121508,0.144,0.246,0,"AKI","ACOX1"
"Acox1",4289,1.85793455355734e-159,-0.695559776282971,0.13,0.216,4.32304211921721e-155,"Recovery","ACOX1"
"Acox1",82,0,1.46720887333179,0.354,0.13,0,"Health","ACOX1"
"Acox1",5795,0,-0.854851121872737,0.085,0.222,0,"CKD","ACOX1"
"Uqcrq",83,0,1.45957721848931,0.819,0.653,0,"Health","UQCRQ"
"Uqcrq",5851,0,-1.0177111367049,0.604,0.723,0,"CKD","UQCRQ"
"Uqcrq",3386,0,-1.01692461307467,0.668,0.736,0,"AKI","UQCRQ"
"Uqcrq",4359,4.22267189215505e-118,-0.454712414538395,0.654,0.717,9.82531295866637e-114,"Recovery","UQCRQ"
"Slc13a3",84,0,1.4467682871545,0.229,0.033,0,"Health","SLC13A3"
"Slc13a3",6539,1.06485978260172e-180,-0.726905933188383,0.033,0.108,2.47771574215769e-176,"CKD","SLC13A3"
"Slc13a3",3396,0,-1.04581170009619,0.022,0.15,0,"AKI","SLC13A3"
"Slc13a3",4587,4.22802776748087e-59,-0.579332364974601,0.066,0.104,9.83777500937449e-55,"Recovery","SLC13A3"
"Tns1",4247,5.77834130317231e-189,-0.682815154079954,0.239,0.34,1.34450445442213e-184,"Recovery","TNS1"
"Tns1",5886,0,-1.23319065606035,0.103,0.359,0,"CKD","TNS1"
"Tns1",85,0,1.44671527148035,0.492,0.244,0,"Health","TNS1"
"Tns1",3327,0,-0.83447336362456,0.289,0.352,0,"AKI","TNS1"
"Ggt1",3420,0,-1.15633349273317,0.15,0.267,0,"AKI","GGTLC1"
"Ggt1",86,0,1.44078565519467,0.366,0.147,0,"Health","GGTLC1"
"Ggt1",5845,0,-0.996705137177175,0.072,0.241,0,"CKD","GGTLC1"
"Dnajc12",5813,0,-0.913062143811211,0.043,0.167,0,"CKD","DNAJC12"
"Dnajc12",4858,1.31825073337427e-14,-0.357250028450125,0.135,0.154,3.06730580641526e-10,"Recovery","DNAJC12"
"Dnajc12",87,0,1.43994042402434,0.296,0.079,0,"Health","DNAJC12"
"Dnajc12",3406,0,-1.07669259023156,0.072,0.206,0,"AKI","DNAJC12"
"Slc5a2",88,0,1.43294173168157,0.21,0.03,0,"Health","SLC5A2"
"Slc5a2",3393,0,-1.0344909475004,0.027,0.134,0,"AKI","SLC5A2"
"Slc5a2",6161,2.04971879385826e-252,-0.874398174582006,0.014,0.101,4.7692856895494e-248,"CKD","SLC5A2"
"Ndufc1",4726,2.50410566407576e-37,-0.330848184597143,0.49,0.534,5.82655305917149e-33,"Recovery","NDUFC1"
"Ndufc1",3384,0,-1.0131580542964,0.483,0.558,0,"AKI","NDUFC1"
"Ndufc1",5863,0,-1.08933495179589,0.334,0.556,0,"CKD","NDUFC1"
"Ndufc1",89,0,1.42598048803133,0.67,0.457,0,"Health","NDUFC1"
"Ndufa6",90,0,1.41662035817394,0.724,0.55,0,"Health","NDUFA6"
