"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"STOX2",0,-0.361063398259213,0.157,0.204,0
"SLC6A19",0,0.374965936097201,0.113,0.052,0
"NDUFS6",0,0.320825985911557,0.223,0.13,0
"CMBL",0,0.871072666648217,0.244,0.098,0
"TRIO",0,-0.640235876311021,0.304,0.391,0
"PDZD2",0,0.357117986222079,0.333,0.258,0
"NPR3",0,0.402332967052961,0.15,0.069,0
"AGXT2",0,0.468205607581503,0.245,0.138,0
"PRLR",0,0.43230940014892,0.189,0.105,0
"RANBP3L",0,0.286908226623057,0.109,0.059,0
"OSMR",0,-0.494907743215473,0.078,0.143,0
"FYB",0,-0.558503200064921,0.07,0.141,0
"DAB2",0,0.706902135951569,0.281,0.153,0
"SEPP1",0,0.737013209267072,0.243,0.126,0
"PARP8",0,-0.594618898069845,0.08,0.158,0
"MAP3K1",0,-0.383925334302907,0.153,0.209,0
"ZSWIM6",0,-0.354450181641756,0.319,0.378,0
"MAST4",0,0.280722045637886,0.403,0.344,0
"NSA2",0,0.320128914159381,0.169,0.099,0
"DMGDH",0,0.358416955134052,0.231,0.147,0
"BHMT2",0,0.483099872429998,0.29,0.178,0
"BHMT",0,0.769803497985319,0.303,0.156,0
"CMYA5",0,0.487502137660136,0.213,0.139,0
"SERINC5",0,-0.411799645323788,0.075,0.127,0
"MTRNR2L2",0,1.11950892818255,0.282,0.147,0
"COX7C",0,0.360102567075734,0.366,0.284,0
"PAM",0,-0.517571934281822,0.231,0.304,0
"FER",0,-0.423302148415482,0.228,0.294,0
"TNFAIP8",0,-0.671382978500309,0.067,0.152,0
"ALDH7A1",0,0.277540045823366,0.165,0.097,0
"CDC42SE2",0,-0.495448265338412,0.225,0.304,0
"UQCRQ",0,0.371886358156964,0.254,0.167,0
"VDAC1",0,0.257523848287643,0.219,0.148,0
"CXCL14",0,1.04569310240701,0.203,0.093,0
"KLHL3",0,0.464293581924701,0.135,0.079,0
"EGR1",0,0.43533659444035,0.267,0.195,0
"UBE2D2",0,-0.371638294809226,0.298,0.355,0
"CYSTM1",0,0.26721901394719,0.348,0.252,0
"SLC4A9",0,0.481461354964209,0.106,0.053,0
"NDUFA2",0,0.277950703140631,0.189,0.116,0
"ARHGAP26",0,-0.853934949747583,0.198,0.304,0
"CD74",0,-0.818692763923568,0.244,0.325,0
"GPX3",0,1.52404214293158,0.427,0.249,0
"ATOX1",0,0.554839041600164,0.209,0.107,0
"CYFIP2",0,0.43493436828368,0.31,0.215,0
"RNF145",0,-0.262208028537773,0.11,0.151,0
