"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Fgfr1op2",147,0,-0.223097171846254,0.152,0.285,0,"Health","FGFR1OP2"
"Cox7a2l",690,0,0.223538222261586,0.606,0.444,0,"CKD","COX7A2L"
"Cox7a2l",148,0,-0.223538222261586,0.444,0.606,0,"Health","COX7A2L"
"Naca",689,0,0.223548412245082,0.77,0.601,0,"CKD","NACA"
"Naca",149,0,-0.223548412245082,0.601,0.77,0,"Health","NACA"
"Scand1",688,0,0.223950379280354,0.56,0.393,0,"CKD","SCAND1"
"Scand1",150,0,-0.223950379280354,0.393,0.56,0,"Health","SCAND1"
"Polr1d",687,0,0.22399566250115,0.505,0.346,0,"CKD","POLR1D"
"Polr1d",151,0,-0.22399566250115,0.346,0.505,0,"Health","POLR1D"
"Gimap3",686,0,0.224210074597935,0.11,0.021,0,"CKD","GIMAP1-GIMAP5"
"Gimap3",152,0,-0.224210074597935,0.021,0.11,0,"Health","GIMAP1-GIMAP5"
"Fkbp1a",685,0,0.224596624780366,0.431,0.275,0,"CKD","FKBP1A"
"Fkbp1a",153,0,-0.224596624780366,0.275,0.431,0,"Health","FKBP1A"
"Cyp4b1",684,0,0.22475419531039,0.586,0.407,0,"CKD","CYP4B1"
"Cyp4b1",154,0,-0.22475419531039,0.407,0.586,0,"Health","CYP4B1"
"Cisd3",683,0,0.224959604665167,0.369,0.231,0,"CKD","CISD3"
"Cisd3",155,0,-0.224959604665167,0.231,0.369,0,"Health","CISD3"
"Acaa1b",156,0,-0.225353329587451,0.237,0.378,0,"Health","ACAA1"
"Acaa1b",682,0,0.225353329587451,0.378,0.237,0,"CKD","ACAA1"
"Rpl36a",157,0,-0.225768652852804,0.73,0.892,0,"Health","RPL36A"
"Rpl36a",681,0,0.225768652852804,0.892,0.73,0,"CKD","RPL36A"
"Cfl1",680,0,0.225808485085119,0.564,0.434,0,"CKD","CFL1"
"Cfl1",158,0,-0.225808485085119,0.434,0.564,0,"Health","CFL1"
"Gpx4",679,0,0.225855126457492,0.858,0.742,0,"CKD","GPX4"
"Gpx4",159,0,-0.225855126457492,0.742,0.858,0,"Health","GPX4"
"Ubb",160,0,-0.226408771831269,0.585,0.731,0,"Health","UBB"
"Ubb",678,0,0.226408771831269,0.731,0.585,0,"CKD","UBB"
"mt-Co2",677,0,0.226446617186459,0.993,0.872,0,"CKD","MT-CO2"
"mt-Co2",161,0,-0.226446617186459,0.872,0.993,0,"Health","MT-CO2"
"Msn",676,0,0.226748553192859,0.247,0.117,0,"CKD","MSN"
"Msn",162,0,-0.226748553192859,0.117,0.247,0,"Health","MSN"
"Cyba",163,0,-0.227558504810267,0.514,0.685,0,"Health","CYBA"
"Cyba",675,0,0.227558504810267,0.685,0.514,0,"CKD","CYBA"
"Rpl8",674,0,0.22803216804139,0.908,0.777,0,"CKD","RPL8"
"Rpl8",164,0,-0.22803216804139,0.777,0.908,0,"Health","RPL8"
"Serpinf2",673,0,0.228515215065013,0.271,0.131,0,"CKD","SERPINF2"
"Serpinf2",165,0,-0.228515215065013,0.131,0.271,0,"Health","SERPINF2"
"Agps",166,0,-0.228613627233411,0.122,0.261,0,"Health","AGPS"
"Agps",672,0,0.228613627233411,0.261,0.122,0,"CKD","AGPS"
"Rap1b",167,0,-0.228931779998627,0.16,0.288,0,"Health","RAP1B"
"Rap1b",671,0,0.228931779998627,0.288,0.16,0,"CKD","RAP1B"
"Slc10a2",669,0,0.22931464344518,0.172,0.047,0,"CKD","SLC10A2"
"Slc10a2",169,0,-0.22931464344518,0.047,0.172,0,"Health","SLC10A2"
"Col4a3",171,0,-0.229841475933301,0.114,0.243,0,"Health","COL4A3"
"Col4a3",667,0,0.229841475933301,0.243,0.114,0,"CKD","COL4A3"
"Rps8",665,0,0.230632619643961,0.95,0.828,0,"CKD","RPS8"
"Rps8",173,0,-0.230632619643961,0.828,0.95,0,"Health","RPS8"
"Tpt1",174,0,-0.23069615225745,0.894,0.985,0,"Health","TPT1"
"Tpt1",664,0,0.23069615225745,0.985,0.894,0,"CKD","TPT1"
"H3f3b",663,0,0.230903982693588,0.712,0.548,0,"CKD","H3-5"
"H3f3b",175,0,-0.230903982693588,0.548,0.712,0,"Health","H3-5"
"B4galt5",176,0,-0.231328087799024,0.073,0.207,0,"Health","B4GALT5"
"B4galt5",662,0,0.231328087799024,0.207,0.073,0,"CKD","B4GALT5"
"Rpl3",661,0,0.232833476875887,0.826,0.677,0,"CKD","RPL3"
"Rpl3",177,0,-0.232833476875887,0.677,0.826,0,"Health","RPL3"
"Mrpl57",178,0,-0.234793863611701,0.264,0.418,0,"Health","MRPL57"
"Mrpl57",660,0,0.234793863611701,0.418,0.264,0,"CKD","MRPL57"
"Nt5e",659,0,0.235267344819599,0.141,0.017,0,"CKD","NT5E"
"Nt5e",179,0,-0.235267344819599,0.017,0.141,0,"Health","NT5E"
"Erich4",658,0,0.235664193285646,0.34,0.193,0,"CKD","ERICH4"
"Erich4",180,0,-0.235664193285646,0.193,0.34,0,"Health","ERICH4"
"Arhgap45",657,0,0.236624516558917,0.13,0.028,0,"CKD","ARHGAP45"
"Arhgap45",181,0,-0.236624516558917,0.028,0.13,0,"Health","ARHGAP45"
"Slc51b",182,0,-0.236769922943602,0.095,0.225,0,"Health","SLC51B"
"Slc51b",656,0,0.236769922943602,0.225,0.095,0,"CKD","SLC51B"
"Rpl23",183,0,-0.236818076042444,0.865,0.974,0,"Health","RPL23"
"Rpl23",655,0,0.236818076042444,0.974,0.865,0,"CKD","RPL23"
"Ugt3a1",654,0,0.236869295231668,0.225,0.088,0,"CKD","UGT3A2"
"Ugt3a1",184,0,-0.236869295231668,0.088,0.225,0,"Health","UGT3A2"
"Mylk",185,0,-0.237241731415093,0.047,0.171,0,"Health","MYLK"
