"gene","X","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","diff.pct","HGNC.symbol"
"Cbs",563,0,0.409463307,0.105,0.016,0,"Control",0.089,"CBS"
"Rpl36a",564,0,0.409230802,0.633,0.626,0,"Control",0.007,"RPL36A"
"Rpl36a",3513,0,-0.424482496,0.551,0.64,0,"IRI_short_14",-0.089,"RPL36A"
"Slc25a15",565,0,0.409125241,0.115,0.03,0,"Control",0.085,"SLC25A15"
"Shmt2",566,0,0.408502128,0.126,0.046,0,"Control",0.08,"SHMT2"
"Txn2",7947,3.21e-172,-0.321289306,0.239,0.323,7.46e-168,"IRI_long_14",-0.084,"TXN2"
"Txn2",2290,0,-0.227073481,0.333,0.308,0,"IRI_short_1",0.025,"TXN2"
"Txn2",567,0,0.40822804,0.326,0.305,0,"Control",0.021,"TXN2"
"Txn2",4659,1.09e-194,-0.278967705,0.272,0.318,2.53e-190,"IRI_long_1",-0.046,"TXN2"
"Comt",4954,1.02e-109,-0.235821314,0.206,0.251,2.37e-105,"IRI_long_1",-0.045,"COMT"
"Comt",8103,7.91e-112,-0.306152744,0.196,0.253,1.84e-107,"IRI_long_14",-0.057,"COMT"
"Comt",568,0,0.407434148,0.259,0.24,0,"Control",0.019,"COMT"
"Mien1",569,0,0.406878674,0.363,0.354,0,"Control",0.009,"MIEN1"
"Mien1",4483,1.53e-257,-0.347457716,0.294,0.366,3.55e-253,"IRI_long_1",-0.072,"MIEN1"
"Mien1",2359,0,-0.284579635,0.366,0.355,0,"IRI_short_1",0.011,"MIEN1"
"Kidins220",570,0,0.405399585,0.202,0.15,0,"Control",0.052,"KIDINS220"
"Kidins220",7971,4.37e-167,-0.273428185,0.096,0.177,1.02e-162,"IRI_long_14",-0.081,"KIDINS220"
"Kidins220",6315,2.25e-47,-0.204310889,0.12,0.17,5.23e-43,"IRI_long_3",-0.05,"KIDINS220"
"Smim27",3725,2.59e-132,-0.223371282,0.052,0.104,6.02e-128,"IRI_short_14",-0.052,"SMIM27"
"Smim27",571,0,0.405255453,0.141,0.075,0,"Control",0.066,"SMIM27"
"Csad",2713,9.69e-223,-0.205249169,0.088,0.105,2.25e-218,"IRI_short_1",-0.017,"CSAD"
"Csad",572,0,0.405098797,0.147,0.08,0,"Control",0.067,"CSAD"
"Csad",8074,5.71e-125,-0.230700086,0.056,0.109,1.33e-120,"IRI_long_14",-0.053,"CSAD"
"Csad",4893,9.96e-128,-0.228384192,0.06,0.108,2.32e-123,"IRI_long_1",-0.048,"CSAD"
"Csad",6300,1.17e-51,-0.203328998,0.063,0.105,2.73e-47,"IRI_long_3",-0.042,"CSAD"
