"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff.pct
"267",0,0.547816205705225,0.518,0.357,0,Control,HPN,0.161
"268",0,0.547267657544347,0.171,0.083,0,Control,ALPK2,0.088
"269",0,0.545362475028243,0.352,0.195,0,Control,RTTN,0.157
"270",0,0.542791442630031,0.817,0.717,0,Control,OXR1,0.1
"271",0,0.542487867002965,0.408,0.252,0,Control,AC009690.1,0.156
"272",0,0.541323410730474,0.327,0.188,0,Control,RAP2C-AS1,0.139
"273",0,0.540458232042982,0.521,0.368,0,Control,ATXN7L1,0.153
"274",0,0.540097958402712,0.345,0.186,0,Control,SPEF2,0.159
"275",0,0.538923907575292,0.222,0.134,0,Control,LINC02343,0.088
"276",0,0.536965876491322,0.472,0.352,0,Control,CCDC148,0.12
"277",0,0.536001110762467,0.852,0.733,0,Control,KANSL1,0.119
"278",0,0.53553652932951,0.346,0.168,0,Control,GNG7,0.178
"279",0,0.533993421799003,0.32,0.209,0,Control,RGL1,0.111
"280",0,0.532992966352593,0.413,0.299,0,Control,RNF150,0.114
"281",0,0.532854958498286,0.661,0.488,0,Control,VAV3,0.173
"282",0,0.532465298068111,0.204,0.094,0,Control,MALRD1,0.11
"283",0,0.531907713669995,0.249,0.134,0,Control,NRK,0.115
"284",0,0.531221593768547,0.36,0.211,0,Control,SLC43A2,0.149
"285",0,0.530284065660284,0.64,0.456,0,Control,PPP6R2,0.184
"286",0,0.529849567168537,0.199,0.099,0,Control,FBP1,0.1
"287",0,0.529378806082286,0.636,0.539,0,Control,TRPM7,0.097
"288",0,0.528612358015044,0.394,0.214,0,Control,MOK,0.18
"289",0,0.528065653206992,0.539,0.407,0,Control,TTTY14,0.132
"290",0,0.52714273703381,0.161,0.082,0,Control,SLC7A7,0.079
"291",0,0.522899215217999,0.247,0.074,0,Control,SLC15A2,0.173
"292",0,0.522434309883869,0.338,0.191,0,Control,ISPD,0.147
"293",0,0.522032379805438,0.309,0.182,0,Control,TTC38,0.127
"294",0,0.521298906994437,0.568,0.442,0,Control,GALNT14,0.126
"295",0,0.520894581126658,0.824,0.744,0,Control,IGF1R,0.08
"296",0,0.520752399738556,0.359,0.187,0,Control,CSRNP3,0.172
"297",0,0.520109917402024,0.14,0.022,0,Control,HAO2,0.118
"298",0,0.519773558770761,0.619,0.467,0,Control,TFDP2,0.152
"299",0,0.519559916270316,0.635,0.51,0,Control,WDR72,0.125
"300",0,0.518464131601558,0.795,0.724,0,Control,WDFY3,0.0710000000000001
"301",0,0.518151866704077,0.178,0.03,0,Control,F11,0.148
"302",0,0.515166856996025,0.383,0.224,0,Control,DNASE1,0.159
"303",0,0.514872283708036,0.565,0.39,0,Control,ZNF704,0.175
"304",0,0.512411985561878,0.448,0.285,0,Control,LINC00278,0.163
"305",0,0.511529573146061,0.479,0.431,0,Control,MRPS6,0.048
"306",0,0.508987755366765,0.263,0.137,0,Control,PPP2R2B,0.126
"307",0,0.508644342967768,0.58,0.378,0,Control,MTSS1,0.202
"308",0,0.506546361683225,0.536,0.381,0,Control,GCNT2,0.155
"309",0,0.505973498100116,0.752,0.594,0,Control,PNISR,0.158
"310",0,0.502940730954408,0.317,0.244,0,Control,PTER,0.073
"311",0,0.500760269776925,0.281,0.173,0,Control,CCDC178,0.108
"312",0,0.500344070550733,0.552,0.441,0,Control,ASTN2,0.111
"313",0,0.500235948574957,0.687,0.559,0,Control,NFIA,0.128
"314",0,0.499733749073057,0.361,0.199,0,Control,AKAP6,0.162
"315",0,0.499230955936717,0.168,0.071,0,Control,DRAIC,0.097
"316",0,0.496984821042811,0.223,0.104,0,Control,ABHD6,0.119
"317",0,0.496984153490982,0.474,0.346,0,Control,WDFY2,0.128
"318",0,0.496571475290064,0.479,0.328,0,Control,SLC3A1,0.151
"319",0,0.496322852753546,0.576,0.428,0,Control,DPH6,0.148
"320",0,0.495772357987713,0.295,0.141,0,Control,SLC9A3,0.154
"321",0,0.495424523487475,0.127,0.058,0,Control,TMEM52B,0.069
"322",0,0.493172392965129,0.502,0.418,0,Control,MGAT5,0.084
"323",0,0.4924530273159,0.528,0.381,0,Control,BCL2,0.147
"324",0,0.491456197869797,0.428,0.297,0,Control,RNPC3,0.131
"325",0,0.490818373660671,0.456,0.319,0,Control,OPHN1,0.137
"326",0,0.49057601736251,0.141,0.053,0,Control,SLC5A11,0.088
"327",0,0.489897594713252,0.763,0.633,0,Control,SOX6,0.13
"328",0,0.486005974879766,0.744,0.604,0,Control,MAPK10,0.14
"329",0,0.485620606090475,0.353,0.206,0,Control,DSE,0.147
"330",0,0.485523424272809,0.269,0.117,0,Control,PANK1,0.152
"331",0,0.484667876896557,0.398,0.244,0,Control,FBXO17,0.154
"332",0,0.483377979131355,0.169,0.05,0,Control,KCNN3,0.119
"333",0,0.483311438162852,0.149,0.065,0,Control,NCALD,0.084
"334",0,0.483179882957195,0.784,0.641,0,Control,RBM6,0.143
"335",0,0.482878877863323,0.405,0.283,0,Control,FRMD3,0.122
"336",0,0.482870977606243,0.224,0.087,0,Control,EPHA4,0.137
"337",0,0.482359855116639,0.547,0.404,0,Control,DENND1B,0.143
"338",0,0.481021627203062,0.247,0.124,0,Control,RIPOR3,0.123
"339",0,0.481015243993094,0.151,0.066,0,Control,AC068599.1,0.085
"340",0,0.478563818366688,0.148,0.047,0,Control,AC024022.1,0.101
"341",0,0.478024123155372,0.175,0.061,0,Control,LINC01788,0.114
"342",0,0.47801673802837,0.616,0.461,0,Control,R3HDM2,0.155
"343",0,0.478006652668634,0.355,0.223,0,Control,CELSR1,0.132
"344",0,0.477200818898652,0.625,0.481,0,Control,PPARGC1A,0.144
"345",0,0.476681938961672,0.246,0.128,0,Control,SLC25A42,0.118
"346",0,0.476512113541993,0.274,0.106,0,Control,SMTNL2,0.168
"347",0,0.475317841816865,0.435,0.296,0,Control,LINC01725,0.139
"348",0,0.474855196769677,0.204,0.105,0,Control,P4HA2,0.099
"349",0,0.474396592862158,0.28,0.16,0,Control,KCNJ1,0.12
"350",0,0.472626926792121,0.604,0.48,0,Control,CNKSR3,0.124
"351",0,0.472447790238067,0.252,0.147,0,Control,FTCD,0.105
"352",0,0.472278399834123,0.298,0.148,0,Control,CAMK2G,0.15
"353",0,0.471683804173306,0.213,0.068,0,Control,TBL1Y,0.145
"354",0,0.471654400472554,0.171,0.072,0,Control,UPB1,0.099
"355",0,0.471536655090963,0.274,0.175,0,Control,GIPC2,0.099
"356",0,0.47069529059236,0.37,0.217,0,Control,CCDC171,0.153
"357",0,0.46885985723332,0.181,0.057,0,Control,LINC02275,0.124
"358",0,0.468642480676696,0.142,0.058,0,Control,AC018467.1,0.084
"359",0,0.468565957596434,0.292,0.164,0,Control,FAM184A,0.128
"360",0,0.468212840667462,0.568,0.488,0,Control,TACC1,0.08
"361",0,0.467632606870281,0.196,0.108,0,Control,KHDRBS2,0.088
"362",0,0.467396859300805,0.213,0.129,0,Control,SLC5A10,0.084
"363",0,0.467292200297221,0.662,0.554,0,Control,THRB,0.108
"364",0,0.466727874368935,0.245,0.139,0,Control,UPP2,0.106
"365",0,0.466461845212552,0.43,0.263,0,Control,TIMM23B,0.167
"366",0,0.466228814846095,0.658,0.498,0,Control,POGZ,0.16
"367",0,0.466100139262154,0.155,0.073,0,Control,AC004870.4,0.082
"368",0,0.46570439553783,0.3,0.163,0,Control,ADGRV1,0.137
"369",0,0.465152976405991,0.545,0.378,0,Control,EPB41L1,0.167
"370",0,0.462967367433425,0.623,0.504,0,Control,ASAP2,0.119
"371",0,0.462890425400428,0.322,0.192,0,Control,CERS4,0.13
"372",0,0.462265989255744,0.274,0.115,0,Control,ADHFE1,0.159
"373",0,0.461447470177361,0.455,0.345,0,Control,FAM171A1,0.11
"374",0,0.460209974612571,0.505,0.388,0,Control,PPP1R21,0.117
"375",0,0.459928610612236,0.459,0.351,0,Control,ERICH1,0.108
"376",0,0.459662027571955,0.568,0.41,0,Control,ECHDC2,0.158
"377",0,0.459025314628952,0.297,0.2,0,Control,PGPEP1,0.097
"378",0,0.458610881367391,0.174,0.068,0,Control,AC138627.1,0.106
"379",0,0.457646921286787,0.219,0.104,0,Control,ABAT,0.115
"380",0,0.457312069186993,0.315,0.172,0,Control,RAP1GAP,0.143
