"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","diff.pct","HGNC.symbol"
"Txnip",330,0,0.464215495155333,0.335,0.131,0,"Control",0.204,"TXNIP"
"Wnk1",331,0,0.464092753179632,0.348,0.209,0,"Control",0.139,"WNK1"
"Gabarapl1",332,0,0.449863588019563,0.582,0.39,0,"Control",0.192,"GABARAPL1"
"Spp2",333,0,0.448469935963813,0.268,0.084,0,"Control",0.184,"SPP2"
"Fabp3",334,0,0.447516666172842,0.272,0.08,0,"Control",0.192,"FABP3"
"Kng2",335,0,0.429439111053916,0.191,0.034,0,"Control",0.157,"KNG1"
"Atp6v1g3",336,0,0.420023727027741,0.154,0.018,0,"Control",0.136,"ATP6V1G3"
"Slc6a19",337,0,0.412612836524585,0.268,0.1,0,"Control",0.168,"SLC6A19"
"Mal",338,0,0.405275573087721,0.199,0.035,0,"Control",0.164,"MAL"
"Atp5b",339,0,0.402892754562411,0.804,0.667,0,"Control",0.137,"ATP5F1B"
"Inmt",340,0,0.395771640155706,0.379,0.221,0,"Control",0.158,"INMT"
"Idh2",341,0,0.388087155169716,0.373,0.202,0,"Control",0.171,"IDH2"
"Mdh1",342,0,0.3864178560756,0.634,0.472,0,"Control",0.162,"MDH1"
"Acss1",343,0,0.3856931901443,0.233,0.051,0,"Control",0.182,"ACSS1"
"Sfrp1",344,0,0.384917033383428,0.151,0.021,0,"Control",0.13,"SFRP1"
"Atp5k",345,0,0.380401790718245,0.853,0.744,0,"Control",0.109,"ATP5ME"
"Oxct1",346,0,0.378821381522992,0.558,0.407,0,"Control",0.151,"OXCT1"
"Slc25a4",347,0,0.374004627525283,0.502,0.348,0,"Control",0.154,"SLC25A4"
"Clcnkb",348,0,0.364714554860727,0.167,0.024,0,"Control",0.143,"CLCNKA"
"Pgam2",349,0,0.354883740542725,0.153,0.018,0,"Control",0.135,"PGAM2"
"Ccnd1",350,0,0.351893808882409,0.301,0.141,0,"Control",0.16,"CCND1"
"Atp5a1",352,0,0.339483300355299,0.722,0.603,0,"Control",0.119,"ATP5F1A"
