,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,diff.pct
330,0,0.577903039,0.167,0.05,0,Control,Mpv17l,0.117

331,0,0.577870911,0.422,0.375,0,Control,Cox14,0.047

332,0,0.577003059,0.143,0.009,0,Control,Hsd3b2,0.134

333,0,0.575738925,0.187,0.048,0,Control,Acaa1b,0.139

334,0,0.574960951,0.209,0.083,0,Control,C130074G19Rik,0.126

335,0,0.572407536,0.273,0.184,0,Control,Cyb5b,0.089

336,0,0.572010379,0.185,0.046,0,Control,Pipox,0.139

337,0,0.571954062,0.206,0.09,0,Control,Mettl7a1,0.116

338,0,0.570010803,0.182,0.081,0,Control,Lgr4,0.101

339,0,0.569306066,0.448,0.393,0,Control,Higd2a,0.055

340,0,0.569067901,0.418,0.358,0,Control,Timm8b,0.06

341,0,0.56678449,0.374,0.302,0,Control,0610012G03Rik,0.072

342,0,0.56661814,0.36,0.275,0,Control,Sdhc,0.085

343,0,0.565042916,0.563,0.525,0,Control,Ndufb7,0.038

344,0,0.56499137,0.395,0.467,0,Control,Wnk1,-0.072

345,0,0.564059799,0.15,0.024,0,Control,Erich4,0.126

346,0,0.564040498,0.157,0.036,0,Control,Amn,0.121

347,0,0.56354605,0.256,0.165,0,Control,Ccnd1,0.091

348,0,0.563511402,0.24,0.138,0,Control,Bpnt1,0.102

349,0,0.563350681,0.17,0.052,0,Control,Amacr,0.118

350,0,0.561760437,0.318,0.253,0,Control,Odc1,0.065

351,0,0.561557088,0.162,0.041,0,Control,Tmem8,0.121

352,0,0.559637204,0.15,0.021,0,Control,Cideb,0.129

353,0,0.556373173,0.161,0.033,0,Control,Hgd,0.128

354,0,0.554092563,0.133,0.012,0,Control,D630029K05Rik,0.121

355,0,0.55396373,0.14,0.018,0,Control,Slc6a20b,0.122

356,0,0.553849069,0.214,0.116,0,Control,Pkd2,0.098

357,0,0.553583569,0.41,0.34,0,Control,Sdha,0.07

358,0,0.551622594,0.132,0.01,0,Control,Zmynd10,0.122

359,0,0.551589591,0.451,0.369,0,Control,Vdac1,0.082

360,0,0.551506349,0.305,0.265,0,Control,Tnfaip8,0.04

361,0,0.550950507,0.208,0.099,0,Control,Ccser2,0.109

362,0,0.550320015,0.305,0.215,0,Control,Mcee,0.09

